,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
117,Martin's Bread Potato 100% Whole Wheat,$3.79 ,,20 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/3YSQJ.jpg,Bread_Bakery,Packaged_Bread
118,Martin's Butter Bread Old Fashioned,$3.79 ,,18 oz pkg, | $0.21 / oz,./Bread_Bakery_Packaged_Bread_files/WB1IU.jpg,Bread_Bakery,Packaged_Bread
119,Panera Bread at Home Multi-Grain,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/SZGIA.jpg,Bread_Bakery,Packaged_Bread
120,Nature's Own Bread 100% Whole Grain,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/K2IM1.jpg,Bread_Bakery,Packaged_Bread
121,Pepperidge Farm Whole Grain Oatmeal Bread,,$3.99 ,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/1JB1M.jpg,Bread_Bakery,Packaged_Bread
122,Fiber One Bread White,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/S4TIX.jpg,Bread_Bakery,Packaged_Bread
123,Pepperidge Farm Swirl Bread French Toast Thick Slice,$3.99 ,,14 oz pkg, | $0.29 / oz,./Bread_Bakery_Packaged_Bread_files/MKQUF.jpg,Bread_Bakery,Packaged_Bread
124,Arnold Whole Grains Bread Health Nut,$4.69 ,,24 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/Y3EA7.jpg,Bread_Bakery,Packaged_Bread
125,Freihofer's Bread Country Potato,$3.49 ,,24 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/ZG11D.jpg,Bread_Bakery,Packaged_Bread
126,Arnold Real Jewish Bread Rye Seeded,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/PCX1W.jpg,Bread_Bakery,Packaged_Bread
127,Pepperidge Farm Jewish Rye Seedless Bread,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/7CPGC.jpg,Bread_Bakery,Packaged_Bread
128,Arnold Real Jewish Bread Rye Seedless,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/A3F8A.jpg,Bread_Bakery,Packaged_Bread
129,Pepperidge Farm Whole Grain Bread White Hearty Texture,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/ZHI74.jpg,Bread_Bakery,Packaged_Bread
130,Sara Lee Artesano Golden Wheat Bakery Bread,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/V7KDS.jpg,Bread_Bakery,Packaged_Bread
131,Thomas' Bread Swirl Cinnamon,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/9R2FJ.jpg,Bread_Bakery,Packaged_Bread
132,Freihofer's Bread Sourdough Italian,$3.99 ,,20 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/T12G5.jpg,Bread_Bakery,Packaged_Bread
133,Rudi's Gluten Free Bakery Bread Sandwich Homestyle,$6.19 ,,18 oz pkg, | $0.34 / oz,./Bread_Bakery_Packaged_Bread_files/2XJRI.jpg,Bread_Bakery,Packaged_Bread
134,Dave's Killer Bread Powerseed Organic,$5.89 ,,25 oz pkg, | $0.24 / oz,./Bread_Bakery_Packaged_Bread_files/I3UZQ.jpg,Bread_Bakery,Packaged_Bread
135,Panera Bread at Home Whole Grain Rustic White,$3.19 ,,14 oz pkg, | $0.23 / oz,./Bread_Bakery_Packaged_Bread_files/OX9N2.jpg,Bread_Bakery,Packaged_Bread
136,Pepperidge Farm Farmhouse Bread Honey Wheat,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/UAJYQ.jpg,Bread_Bakery,Packaged_Bread
137,Schar Bread Artisan Baker Multigrain Bread Gluten Free,$6.79 ,,14.1 oz pkg, | $0.48 / oz,./Bread_Bakery_Packaged_Bread_files/J2PUP.jpg,Bread_Bakery,Packaged_Bread
138,Schar Bread Artisan Baker White Gluten Free,$6.79 ,,14.1 oz pkg, | $0.48 / oz,./Bread_Bakery_Packaged_Bread_files/DC1ON.jpg,Bread_Bakery,Packaged_Bread
139,Stop & Shop Rye Bread Seeded,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/4XVZX.jpg,Bread_Bakery,Packaged_Bread
140,Panera Bread at Home Whole Grain 100% Whole Wheat,$3.19 ,,14 oz pkg, | $0.23 / oz,./Bread_Bakery_Packaged_Bread_files/C2SR5.jpg,Bread_Bakery,Packaged_Bread
